rut,id_instalacion
99149710-2,123
69719019-8,174
82903113-2,150
44604413-3,138
15451762-6,85
84729190-7,137
73557956-8,170
87094740-2,151
98642893-3,170
50062649-6,97
60574488-5,169
66970190-k,51
45026733-3,78
27844046-k,50
92554015-3,163
19528671-k,174
58143457-k,168
83131309-9,195
34761062-3,181
34414978-k,86
22145359-k,151
80592689-9,36
14920531-4,70
87442136-7,165
91935122-5,192
25609460-6,204
40424433-7,126
47673879-2,198
58179139-9,70
92365268-k,166
77814675-4,211
85516291-1,198
11636170-1,67
87631642-0,8
10254486-2,60
67913619-4,162
82260254-1,38
47591540-2,165
80921370-6,142
76160177-6,156
97596735-2,37
75576764-6,43
81428035-7,82
94006732-4,78
18984900-1,44
18167947-6,141
96213302-9,124
22169359-0,165
17070747-8,214
30001031-8,118
44715611-3,103
20026905-5,193
60926655-4,97
45385992-4,48
37742604-5,180
54106148-7,152
58303600-8,39
48762156-0,193
17459269-1,166
85743167-7,184
23000993-7,173
39790970-0,213
36259502-9,214
55972471-8,195
92311983-3,107
65238271-1,96
66258468-1,35
82581279-2,99
85831418-6,168
67414624-8,173
12205074-2,109
27852199-0,94
97004364-0,199
34902561-2,195
79922398-8,215
74630833-7,195
97343582-5,80
10116173-0,123
35820841-k,158
36669949-k,189
91995839-1,173
63814706-8,67
56292778-6,33
17195049-k,99
12166206-k,58
81203114-7,96
28273728-0,190
47865441-3,119
60727093-7,94
95423202-6,86
33456182-8,168
71316667-7,198
34864642-7,24
70156418-9,75
32726853-8,163
55956975-5,187
38563658-k,143
66920820-0,199
82993651-8,172
49881324-0,149
78301240-5,157
70388205-6,144
62220169-0,39
54076655-k,102
99116865-6,84
28450511-5,180
69265725-k,12
60747994-1,188
89118524-3,19
36081017-8,157
99070181-4,190
22412109-1,69
54157127-2,152
99748016-3,82
61773216-5,151
26905798-k,10
32700742-4,76
83469143-4,168
64336012-8,209
59260036-6,11
79687907-6,117
88413708-k,32
91051274-9,5
13993032-0,211
88104231-2,7
74644456-7,189
12874915-2,215
33402225-0,121
57931953-4,209
46033111-0,198
86819507-k,59
22637365-9,72
31845287-3,157
87813399-4,142
82376572-k,21
66199699-4,81
97781705-6,136
88730119-0,5
13295853-k,58
35656775-7,74
22760013-6,166
91223172-0,19
21630671-6,82
70019535-k,212
35414863-3,101
30928102-0,65
61662429-6,35
36750587-7,167
81234956-2,182
33491402-k,82
80356838-3,27
66625711-1,166
97321798-4,26
32211035-9,178
18076157-8,197
59444986-k,77
25070905-6,25
97538963-4,33
92445451-2,154
44770429-3,96
12460058-8,85
12673702-5,57
99837067-1,98
49628420-8,134
59537115-5,25
62974576-9,208
91888069-0,33
77489819-0,212
10742402-4,32
42868972-0,205
22479749-4,37
49036882-5,95
26100581-6,117
78158392-8,49
42127645-5,63
95437335-5,40
92394961-5,100
86555166-5,185
39567466-8,99
85411178-7,196
47342099-6,27
22977216-3,141
25107105-5,115
35069575-3,211
14761964-2,143
11341475-8,86
27626683-7,3
57133149-7,67
63974341-1,22
69251591-9,129
76081261-7,57
89213188-0,153
83896534-2,77
36030482-5,157
77796005-9,186
93591226-1,193
99294258-4,68
12187269-2,145
13592940-9,142
31092780-5,84
37220030-8,2
23298314-0,160
66336340-9,123
97166191-7,201
37204390-3,149
63968995-6,56
25309713-2,69
95741388-9,26
88697741-7,114
79974368-k,77
91085975-7,192
63884576-8,189
98849412-7,197
56350683-0,198
55776079-2,67
42621036-3,69
36625090-5,27
58191750-3,204
15286948-7,131
87861767-3,177
55823148-3,35
93600353-2,178
80628376-2,126
22545748-4,53
51093069-k,55
90739234-1,81
62196038-5,120
10339840-1,13
15614052-k,6
57728317-6,48
85034590-2,126
64370666-0,72
47666047-5,92
53089483-5,16
46787382-2,14
51193594-6,170
71881591-6,52
27952560-4,115
91844038-0,4
12920124-k,18
66976509-6,120
45024924-6,3
81881771-1,167
97632703-9,102
52189199-8,144
65207641-6,210
98683815-5,1
90007582-0,35
32153494-5,90
53087333-1,150
42723522-k,11
96371883-7,108
58648727-2,141
87734759-1,53
18446690-2,145
51844875-7,165
57792927-0,57
70841109-4,190
61995722-9,164
79263691-8,52
32817993-8,15
80508950-4,118
73561428-2,169
63196577-6,10
40070443-0,120
39089742-1,158
66899113-0,193
12348490-8,172
15823641-9,186
68353685-7,212
43173481-8,176
70012917-9,184
56485501-4,117
32142510-0,20
79348268-k,54
70638696-3,18
84081575-7,159
91790173-2,178
13068977-9,33
67938721-9,118
93900888-8,61
58366562-5,89
48776848-0,165
62942419-9,151
22060310-5,196
70851011-4,47
20789297-1,4
77625718-4,82
97657967-4,163
77354291-0,87
15298663-7,152
19027799-2,143
36044904-1,184
43922451-7,26
16315937-6,16
23407008-8,1
81168161-k,3
51755919-9,163
49337371-4,158
63483183-5,47
85410626-0,53
62785039-5,155
59919311-1,167
33199896-6,50
48986292-1,85
14200344-9,34
45644100-9,111
84911278-3,125
90243628-6,108
88408240-4,33
95541819-0,6
69373271-9,9
89265324-0,2
78662700-1,86
55705480-4,130
70106627-8,9
26123513-7,124
60031280-4,190
86043030-4,82
54746197-5,190
96217495-7,106
74759859-2,21
43630977-5,88
46680387-1,42
75490842-4,55
14825989-5,83
72570829-7,193
89200986-4,2
31653150-4,27
34352032-8,8
51827744-8,214
14811794-2,179
92390198-1,99
33090056-3,73
12177977-3,142
97036167-7,1
59105378-7,119
92253121-8,191
84621982-k,95
80511365-0,165
49552236-9,92
56930255-2,50
49860637-7,151
46080300-4,168
27423756-2,120
92898031-6,161
79693636-3,151
45400053-6,62
73842540-5,1
62778278-0,182
60038263-2,9
