id_cierre,rut_jefe_cierre
835,99233768-0
489,75397524-1
263,29415476-0
519,33874298-3
278,70106627-8
767,83123905-0
302,12815044-7
147,64269343-3
36,27952560-4
197,56425505-k
285,48246125-5
297,92244003-4
583,85973291-7
674,71962392-1
613,29877385-6
716,50511840-5
289,12412672-k
300,48553208-0
819,70388205-6
719,75981648-k
207,80885102-4
202,79348268-k
783,43831962-k
840,53383454-k
341,28231652-8
5,14200344-9
45,83118985-1
628,96251410-3
677,71389826-0
349,48161908-4
153,50109588-5
6,74415365-4
681,11123767-0
593,14114400-6
830,73815426-6
534,52581344-4
425,58557550-k
679,53967694-6
647,86447590-6
247,79850677-3
484,48292072-1
669,15623590-3
557,83029887-8
31,69402733-4
200,40978316-3
829,35661237-k
168,58191750-3
57,73842540-5
624,73026642-1
821,50942616-3
33,68377701-3
638,11784418-8
174,79861684-6
301,92253121-8
833,44626695-0
114,61514910-1
850,23514054-3
327,53747213-8
551,12187269-2
566,25002692-7
60,69698793-9
875,33236616-5
80,69186141-4
432,79308193-6
273,45453849-8
99,81602032-8
710,43922451-7
824,17459269-1
142,67710168-7
734,91957637-5
735,53747213-8
100,42678415-7
409,60916764-5
811,11453035-2
525,95185947-8
801,37285914-8
54,35662780-6
84,92394961-5
682,53089483-5
607,54480341-7
419,73540572-1
621,85384785-2
179,81698647-8
764,45644100-9
871,54363208-2
683,71881591-6
394,34643031-1
390,24115633-8
473,70388205-6
228,59137080-4
588,85743167-7
303,79348268-k
358,26240285-1
239,54122700-8
266,17195049-k
372,87631642-0
808,21219682-7
262,66970190-k
655,63974341-1
653,86164302-6
234,56499633-5
94,87442136-7
155,55326528-2
17,34776869-3
629,20820475-0
646,41694611-6
397,88094734-6
131,74415365-4
381,33078552-7
351,44604413-3
385,65346159-3
389,42538060-5
13,94362008-3
581,79480331-5
565,82833215-5
876,73324033-4
112,78156640-3
353,66183219-3
705,34012878-8
181,87861767-3
364,48925896-k
586,92445451-2
665,34352032-8
339,31679088-7
291,78918085-7
804,31256887-k
450,43922451-7
622,77477421-1
678,41183684-3
401,22479749-4
8,73324033-4
330,97404549-4
322,34761062-3
664,23298314-0
596,32700742-4
37,20180335-7
663,87544765-3
167,30928102-0
863,13068977-9
612,75328775-2
606,64269343-3
773,59060940-4
609,13592940-9
